Paula,1,10,11,2020-06-09
Paula,2,10,13,2020-06-09
Paula,2,10,14,2020-06-09
Paula,3,10,16,2020-06-09
Poo Face@s.sfusd.edu,1,10,16,2020-06-09
Maggie,1,10,10,2020-06-09
Maggie,1,10,10,2020-06-09
Maggie,1,6,14,2020-06-09
Maggie,1,10,11,2020-06-09
Maggie,1,9,11,2020-06-09
Maggie,1,10,10,2020-06-09
Maggie,1,10,12,2020-06-09
Maggie,1,9,12,2020-06-09
Maggie,9,10,27,2020-06-09
Maggie,9,4,27,2020-06-09
Maggie,1,10,10,2020-06-09
Maggie,2,10,19,2020-06-09
Maggie,3,2,20,2020-06-09
Maggie,12,0,4,2020-06-09
Maggie,1,0,1,2020-06-09
Poo Face@s.sfusd.edu,10,10,15,2020-06-09
Poo Face@s.sfusd.edu,10,10,21,2020-06-09
Poo Face@s.sfusd.edu,9,10,70,2020-06-09
Poo Face@s.sfusd.edu,8,10,66,2020-06-09
Poo Face@s.sfusd.edu,7,10,93,2020-06-09
Poo Face@s.sfusd.edu,6,10,100,2020-06-09
Poo Face@s.sfusd.edu,5,9,46,2020-06-09
Poo Face@s.sfusd.edu,4,10,54,2020-06-09
Poo Face@s.sfusd.edu,3,10,44,2020-06-09
Poo Face@s.sfusd.edu,2,10,29,2020-06-09
Poo Face@s.sfusd.edu,1,9,16,2020-06-09
Poo Face@s.sfusd.edu,1,10,13,2020-06-09
Poo Face@s.sfusd.edu,1,0,2,2020-06-09
Paula,2,10,15,2020-06-09
Paula,2,10,12,2020-06-09
Paula,2,10,14,2020-06-09
Paula,1,10,10,2020-06-09
Paula,2,10,16,2020-06-09
Paula,3,10,17,2020-06-09
Paula,4,10,18,2020-06-09
Paula,2,9,16,2020-06-09
Paula,2,10,14,2020-06-09
Paula,3,8,20,2020-06-09
Paula,5,10,19,2020-06-09
Jeremiah,15,8,24,2020-06-09
Paula,1,10,34,2020-06-10
Paula,33,0,3,2020-06-10
Paula,55,2,13,2020-06-10
Paula,1,9,11,2020-06-10
Paula,4,10,18,2020-06-10
Paula,6,0,4,2020-06-10
Paula,6,0,4,2020-06-10
Maggie,1,10,9,2020-06-10
Maggie,1,10,9,2020-06-10
Maggie,2,10,17,2020-06-10
Maggie,2,10,16,2020-06-10
Maggie,3,5,36,2020-06-10
Maggie,1,8,13,2020-06-10
Maggie,1,8,10,2020-06-10
Maggie,1,9,9,2020-06-10
Poo Face@s.sfusd.edu,1,10,18,2020-06-10
Maggie,2,10,13,2020-06-10
Poo Face@s.sfusd.edu,2,10,32,2020-06-10
Maggie,3,10,22,2020-06-10
Poo Face@s.sfusd.edu,3,10,49,2020-06-10
Maggie,4,10,30,2020-06-10
Poo Face@s.sfusd.edu,4,10,59,2020-06-10
Maggie,5,9,34,2020-06-10
Maggie,1,9,9,2020-06-10
Maggie,1,10,10,2020-06-10
Maggie,1,7,10,2020-06-10
Maggie,1,8,10,2020-06-10
Maggie,1,9,10,2020-06-10
Maggie,1,0,2,2020-06-10
Jeremiah,1,10,19,2020-06-10
Jeremiah,1,10,10,2020-06-10
Jeremiah,1,10,10,2020-06-10
Maggie,1,10,10,2020-06-10
Maggie,1,9,10,2020-06-10
Jeremiah,2,1,8,2020-06-10
Jeremiah,2,8,13,2020-06-10
Jeremiah,2,10,12,2020-06-10
Poo Face@s.sfusd.edu,1,10,15,2020-06-11
Poo Face@s.sfusd.edu,2,10,24,2020-06-11
Poo Face@s.sfusd.edu,3,10,74,2020-06-11
Poo Face@s.sfusd.edu,4,10,49,2020-06-11
Poo Face@s.sfusd.edu,5,10,59,2020-06-11
Poo Face@s.sfusd.edu,6,10,106,2020-06-11
Poo Face@s.sfusd.edu,7,8,66,2020-06-11
Poo Face@s.sfusd.edu,8,9,56,2020-06-11
Poo Face@s.sfusd.edu,9,10,27,2020-06-11
Poo Face@s.sfusd.edu,10,8,28,2020-06-11
Poo Face@s.sfusd.edu,11,8,41,2020-06-11
Poo Face@s.sfusd.edu,12,7,110,2020-06-11
Maggie,1,10,9,2020-06-11
Maggie,2,10,14,2020-06-11
Maggie,3,10,20,2020-06-11
Maggie,4,7,35,2020-06-11
Maggie,4,0,4,2020-06-11
Maggie,4,4,17,2020-06-11
Maggie,4,10,36,2020-06-11
Maggie,5,10,25,2020-06-11
Maggie,6,8,30,2020-06-11
Maggie,7,2,15,2020-06-11
Maggie,7,10,49,2020-06-11
Maggie,8,8,30,2020-06-11
Maggie,9,9,29,2020-06-11
Maggie,10,10,20,2020-06-11
Maggie,11,10,17,2020-06-11
Maggie,12,6,24,2020-06-11
Paula,1,9,12,2020-06-12
Paula,1,9,13,2020-06-12
Paula,1,8,18,2020-06-12
Paula,1,0,27,2020-06-12
Maggie,1,10,10,2020-06-12
Maggie,2,10,14,2020-06-12
Maggie,3,10,23,2020-06-12
Maggie,4,10,37,2020-06-12
Maggie,5,10,28,2020-06-12
Maggie,6,10,43,2020-06-12
Maggie,7,9,32,2020-06-12
Maggie,8,6,39,2020-06-12
Maggie,9,10,28,2020-06-12
Maggie,10,10,18,2020-06-12
Poo Face@s.sfusd.edu,11,10,64,2020-06-12
Poo Face@s.sfusd.edu,10,10,24,2020-06-12
Poo Face@s.sfusd.edu,9,10,55,2020-06-12
Poo Face@s.sfusd.edu,8,10,32,2020-06-12
Poo Face@s.sfusd.edu,7,9,58,2020-06-12
Poo Face@s.sfusd.edu,6,9,71,2020-06-12
Poo Face@s.sfusd.edu,5,9,38,2020-06-12
Poo Face@s.sfusd.edu,4,10,56,2020-06-12
Poo Face@s.sfusd.edu,3,10,24,2020-06-12
Poo Face@s.sfusd.edu,2,10,22,2020-06-12
Poo Face@s.sfusd.edu,1,10,14,2020-06-12
Poo Face@s.sfusd.edu,123,0,12,2020-06-12
Maggie,1,10,8,2020-06-15
Maggie,2,10,13,2020-06-15
Maggie,3,10,13,2020-06-15
Maggie,4,10,24,2020-06-15
